Trial,Machine,Year,Plot,Sample,Rep,TW,TW kg/hL,,,,,,
H6,GAC,2020,101,1,1,55.8,71.8,,,The sample measurement indicates the if it was measured the first second or third time in the different insturments,,,
H6,GAC,2020,101,2,2,55.8,71.8,,,Each Sample measurement is grouped as a rep,,,
H6,GAC,2020,101,3,3,55.8,71.8,,,,,,
H6,GAC,2020,102,1,1,56.3,72.5,,,,,,
H6,GAC,2020,102,2,2,56.3,72.5,,,,,,
H6,GAC,2020,102,3,3,56.3,72.5,,,,,,
H6,GAC,2020,103,1,1,55.7,71.7,,,,,,
H6,GAC,2020,103,2,2,55.7,71.7,,,,,,
H6,GAC,2020,103,3,3,55.7,71.7,,,,,,
H6,GAC,2020,104,1,1,57.5,74.0,,,,,,
H6,GAC,2020,104,2,2,57.5,74.0,,,,,,
H6,GAC,2020,104,3,3,57.5,74.0,,,,,,
H6,GAC,2020,107,1,1,58.3,75.0,,,,,,
H6,GAC,2020,107,2,2,58.2,74.9,,,,,,
H6,GAC,2020,107,3,3,58.2,74.9,,,,,,
H6,GAC,2020,108,1,1,57.9,74.5,,,,,,
H6,GAC,2020,108,2,2,58.6,75.4,,,,,,
H6,GAC,2020,108,3,3,58.0,74.6,,,,,,
H6,GAC,2020,109,1,1,57.4,73.9,,,,,,
H6,GAC,2020,109,2,2,57.4,73.9,,,,,,
H6,GAC,2020,109,3,3,57.4,73.9,,,,,,
H6,GAC,2020,110,1,1,58.6,75.4,,,,,,
H6,GAC,2020,110,2,2,58.6,75.4,,,,,,
H6,GAC,2020,110,3,3,58.7,75.5,,,,,,
H6,GAC,2020,111,1,1,56.9,73.2,,,,,,
H6,GAC,2020,111,2,2,56.9,73.2,,,,,,
H6,GAC,2020,111,3,3,56.9,73.2,,,,,,
H6,GAC,2020,112,1,1,54.7,70.4,,,,,,
H6,GAC,2020,112,2,2,54.6,70.3,,,,,,
H6,GAC,2020,112,3,3,54.7,70.4,,,,,,
H6,GAC,2020,113,1,1,58.7,75.5,,,,,,
H6,GAC,2020,113,2,2,58.6,75.4,,,,,,
H6,GAC,2020,113,3,3,59.6,76.7,,,,,,
H6,GAC,2020,114,1,1,57.8,74.4,,,,,,
H6,GAC,2020,114,2,2,58.5,75.3,,,,,,
H6,GAC,2020,114,3,3,58.4,75.2,,,,,,
H6,GAC,2020,115,1,1,60.4,77.7,,,,,,
H6,GAC,2020,115,2,2,59.2,76.2,,,,,,
H6,GAC,2020,115,3,3,58.6,75.4,,,,,,
H6,GAC,2020,116,1,1,60.3,77.6,,,,,,
H6,GAC,2020,116,2,2,59.1,76.1,,,,,,
H6,GAC,2020,116,3,3,59.4,76.4,,,,,,
H6,GAC,2020,117,1,1,59.4,76.4,,,,,,
H6,GAC,2020,117,2,2,59.0,75.9,,,,,,
H6,GAC,2020,117,3,3,59.1,76.1,,,,,,
H6,GAC,2020,118,1,1,59.6,76.7,,,,,,
H6,GAC,2020,118,2,2,58.7,75.5,,,,,,
H6,GAC,2020,118,3,3,58.9,75.8,,,,,,
H6,GAC,2020,119,1,1,55.4,71.3,,,,,,
H6,GAC,2020,119,2,2,53.8,69.2,,,,,,
H6,GAC,2020,119,3,3,60.1,77.3,,,,,,
H6,GAC,2020,120,1,1,60.8,78.2,,,,,,
H6,GAC,2020,120,2,2,60.6,78.0,,,,,,
H6,GAC,2020,120,3,3,61.5,79.2,,,,,,
H6,GAC,2020,121,1,1,58.1,74.8,,,,,,
